Key.enter 	 at 13:51:55
'ô' 	 at 13:51:57
'û' 	 at 13:51:57
'à' 	 at 13:51:57
'ô' 	 at 13:51:58
'û' 	 at 13:51:58
'à' 	 at 13:51:58
'ô' 	 at 13:51:58
Key.ctrl_l 	 at 13:51:58
'\x03' 	 at 13:51:59
'\x03' 	 at 13:52:00
'\x03' 	 at 13:52:00
'\x03' 	 at 13:52:00
'\x03' 	 at 13:52:01
'\x03' 	 at 13:52:01
'\x03' 	 at 13:52:01
'\x03' 	 at 13:52:01
'\x03' 	 at 13:52:02
'\x03' 	 at 13:52:02
'\x03' 	 at 13:52:02
'\x03' 	 at 13:52:02
'\x03' 	 at 13:52:02
'\x03' 	 at 13:52:02
'\x03' 	 at 13:52:02
'\x03' 	 at 13:52:03
'\x03' 	 at 13:52:03
'\x03' 	 at 13:52:03
Key.ctrl_l 	 at 13:52:04
'\x03' 	 at 13:52:04
'\x03' 	 at 13:52:04
'\x03' 	 at 13:52:04
'\x03' 	 at 13:52:04
Key.ctrl_l 	 at 13:52:40
'\x01' 	 at 13:52:40
'\x03' 	 at 13:52:41
Key.ctrl_l 	 at 13:52:43
'\x03' 	 at 13:52:43
'\x03' 	 at 13:52:44
'\x03' 	 at 13:52:44
'\x03' 	 at 13:52:45
'\x03' 	 at 13:52:45
'\x03' 	 at 13:52:45
Key.ctrl_l 	 at 13:52:48
'\x01' 	 at 13:52:48
'\x03' 	 at 13:52:49
Key.alt_l 	 at 13:52:49
Key.tab 	 at 13:52:49
Key.alt_l 	 at 13:52:50
Key.tab 	 at 13:52:50
Key.tab 	 at 13:52:50
'ñ' 	 at 13:52:54
'ð' 	 at 13:52:54
'ô' 	 at 13:52:54
Key.enter 	 at 13:52:55
Key.ctrl_l 	 at 13:53:01
'\x16' 	 at 13:53:01
Key.ctrl_l 	 at 13:53:24
'\x03' 	 at 13:53:25
Key.shift 	 at 13:53:28
Key.enter 	 at 13:53:28
Key.enter 	 at 13:53:28
Key.up 	 at 13:53:29
Key.up 	 at 13:53:29
Key.up 	 at 13:53:29
'ø' 	 at 13:53:30
'ü' 	 at 13:53:30
'ç' 	 at 13:53:30
'ê' 	 at 13:53:31
'ù' 	 at 13:53:31
'ì' 	 at 13:53:31
'ó' 	 at 13:53:31
Key.space 	 at 13:53:31
'ñ' 	 at 13:53:32
'ù' 	 at 13:53:32
'â' 	 at 13:53:32
'ó' 	 at 13:53:32
Key.space 	 at 13:53:32
'û' 	 at 13:53:32
'ù' 	 at 13:53:33
Key.space 	 at 13:53:33
Key.ctrl_l 	 at 13:53:33
'\x16' 	 at 13:53:33
Key.ctrl_l 	 at 13:53:35
Key.ctrl_l 	 at 13:53:36
Key.ctrl_l 	 at 13:53:36
